"dataset","caseid","length","label","leverage1","leverage2"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173688","-0.823725786592991","0","1.28076275111507e-05","2.59711633106322e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173691","-0.452006468602013","0","9.19064086678568e-06","1.68167559253277e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173694","-1.22008734921278","0","7.28245113460133e-06","1.6443113558352e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173715","-1.04962611213407","0","7.80891702780846e-06","1.68396901048669e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173718","3.00693575807175","0","9.3294740746268e-05","5.99536869257565e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173721","-0.70883536633966","0","9.72712370269261e-06","1.91117961983946e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173730","1.31123247306318","0","4.47298482240354e-05","4.8995657195149e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173736","-0.456318315378965","0","4.16184726401206e-07","7.62438658273906e-09"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173739","-0.187603894722614","0","3.20395877226579e-06","5.443053113987e-08"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173745","-1.04599052819791","0","5.92924637491033e-06","1.27736537340574e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173748","-0.0526401491618215","0","1.23358417827813e-07","2.01700726555741e-09"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173751","-0.693942798400158","0","1.08181661381575e-05","2.11684183141995e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173760","-0.825296236309133","0","1.25743449044603e-05","2.55090852964335e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173784","20.1085698972191","0","0.0018794689227225","8.74306484402559e-09"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173787","-0.980459983037134","0","7.48507444931082e-06","1.58412765969583e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173790","-0.790533476888529","0","1.27297451862621e-05","2.55794283541895e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173793","-0.746506480751538","0","1.09042129263154e-05","2.164780711687e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173796","-0.645142569007562","0","9.29859536931099e-06","1.79515776732911e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173805","-0.241255904038484","0","5.37415130197702e-06","9.26917925252767e-08"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173811","-1.22617006586837","0","2.94740029081511e-06","6.66583853471646e-08"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173817","-0.993192728893736","0","8.94716659763363e-06","1.90012376026478e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173823","-0.799171865590216","0","1.19351443787383e-05","2.40396334434714e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173835","-0.793521536841745","0","7.15582968776297e-06","1.4390872309983e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173844","-0.807407215984341","0","9.11282694346615e-06","1.83964449092918e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173847","-0.826736389162751","0","1.11590175854911e-05","2.26467961350837e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173859","-0.937271990962801","0","6.68574726066179e-06","1.39843149754658e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173868","-0.699104200337381","0","1.0393472909161e-05","2.03663546827329e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173871","-0.723151692224074","0","4.80790154312395e-06","9.48385128417772e-08"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173880","-0.945364581036415","0","1.41127777891417e-05","2.9584262902229e-07"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173898","-1.11914702028703","0","3.62145034901668e-06","7.95771441620018e-08"
"pca_Preprocessed_insert0.006_bpic2012_O_ACCEPTED-COMPLETE_clean.csv","173913","-0.810455080104217","0","1.25961871601408e-05","2.54497022840348e-07"
